c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
692950,Customer#000692950,879654.7805049033,8154.605264969854,PERU,Address 692950,33-660-965-2154,customer comment
1299740,Customer#001299740,800812.1212752693,479.67333642642257,JAPAN,Address 1299740,31-609-571-3420,customer comment
735975,Customer#000735975,792701.1035155124,2088.655469466379,ARGENTINA,Address 735975,31-577-684-2410,customer comment
502881,Customer#000502881,781377.0114100589,5142.092136357488,SAUDI ARABIA,Address 502881,10-538-404-2121,customer comment
136018,Customer#000136018,775348.0120475795,9829.51344848046,PERU,Address 136018,29-882-312-7317,customer comment
335201,Customer#000335201,769616.528053542,423.70093484730614,UNITED STATES,Address 335201,10-651-296-3194,customer comment
378212,Customer#000378212,767758.7950212746,2307.038892493105,MOZAMBIQUE,Address 378212,20-538-895-4082,customer comment
1077964,Customer#001077964,761226.662737579,8649.198043067267,ARGENTINA,Address 1077964,22-930-700-9605,customer comment
248160,Customer#000248160,758413.3829404202,7341.117181281566,INDONESIA,Address 248160,24-437-586-5721,customer comment
1126195,Customer#001126195,749301.2584522532,4614.014224199593,EGYPT,Address 1126195,31-348-468-2866,customer comment
760932,Customer#000760932,748059.2529607363,7062.479005065838,FRANCE,Address 760932,12-246-985-6883,customer comment
375675,Customer#000375675,737454.6877147851,256.54729399016173,CANADA,Address 375675,11-576-396-1828,customer comment
962597,Customer#000962597,737089.1811265069,8922.734429275022,ARGENTINA,Address 962597,33-503-545-6814,customer comment
62297,Customer#000062297,726060.191530251,9396.212131118931,GERMANY,Address 62297,19-379-612-4478,customer comment
1025458,Customer#001025458,717450.0289187372,-80.28922850687559,IRAQ,Address 1025458,25-182-149-2075,customer comment
694282,Customer#000694282,714033.6493821784,2298.139243200342,SAUDI ARABIA,Address 694282,28-848-367-8540,customer comment
237303,Customer#000237303,707696.6975499348,9742.158650146057,JORDAN,Address 237303,11-456-768-7011,customer comment
391456,Customer#000391456,696041.983686053,4738.788113861524,CANADA,Address 391456,28-198-394-2080,customer comment
101999,Customer#000101999,689484.5047136099,1908.5193959386122,SAUDI ARABIA,Address 101999,14-401-153-5677,customer comment
946669,Customer#000946669,689211.2979044367,177.1549437650715,ARGENTINA,Address 946669,15-285-703-9634,customer comment
